site_name,lat,lon
nwis_04176500,41.9606008,-83.53104619
nwis_07164500,36.14064807,-96.0063866
nwis_03293000,38.237293,-85.6646834
nwis_02336313,33.8217716,-84.4388178
nwis_01656903,38.8823899,-77.4319047
nwis_03292475,38.3034027,-85.62801689
nwis_05446500,41.5561111,-90.1852778
nwis_07144100,37.88306739,-97.4244864
nwis_11044000,33.4739175,-117.1422536
nwis_11463980,38.6329653,-122.8555494
nwis_02203863,33.69319444,-84.25388889
nwis_01408500,39.98638889,-74.2233333
nwis_04087050,43.20667408,-88.0384231
nwis_01400500,40.55555556,-74.58277778
nwis_02110500,33.9126719,-78.7150175
nwis_04024000,46.7032765,-92.4188018
nwis_03067510,38.6170576,-79.8697849
nwis_04200500,41.38032368,-82.10459279
nwis_02337170,33.65666667,-84.6736111
nwis_08052745,33.2192846,-96.8919475
nwis_07381600,29.69281939,-91.2119368
nwis_11467000,38.50852336,-122.9277737
nwis_01480870,39.9687191,-75.6732715
nwis_03183500,37.7242874,-80.641468
nwis_01673000,37.76764189,-77.3322018
nwis_04166500,42.3730923,-83.2546513
nwis_01646305,38.95977716,-77.1756743
nwis_02336410,33.83843787,-84.4393734
nwis_05435950,42.94916667,-89.5441667
nwis_02336152,33.81044444,-84.2479722
nwis_01473500,40.11121934,-75.3468502
nwis_04124000,44.43639239,-85.6986792
nwis_01184000,41.9873186,-72.6053669
nwis_02203900,33.66621924,-84.2246426
nwis_08171290,30.00555556,-97.9525
nwis_13213000,43.78166667,-116.9727778
nwis_02236000,29.00831827,-81.3825651
nwis_02035000,37.67097957,-78.0858328
nwis_01649190,39.03313889,-76.96427778
nwis_01650800,38.9862222,-77.0048611
nwis_03293500,38.25034895,-85.7166287
nwis_03539778,36.1031293,-84.7182771
nwis_10133980,40.87078006,-111.5852044
nwis_04231600,43.1417222,-77.6163056
nwis_13173600,43.7309932,-117.0718258
nwis_01463500,40.22166667,-74.7780556
nwis_01481000,39.8698328,-75.5932623
nwis_02336526,33.79427255,-84.4743747
nwis_01481500,39.7695,-75.5766944
nwis_02203655,33.67899706,-84.3579807
nwis_04168400,42.30837099,-83.2527063
nwis_04174500,42.28698238,-83.7338296
nwis_08048000,32.76096337,-97.3325167
nwis_04125550,44.25944997,-85.94174209
nwis_02101726,35.73514055,-79.4230754
nwis_05406457,43.1097222,-89.6408333
nwis_02203950,33.7634389,-84.2201982
nwis_03339000,40.10087009,-87.5972419
nwis_02148315,33.82848933,-80.6203645
nwis_06893890,39.02556175,-94.3438385
nwis_04121944,43.43085818,-85.5955989
nwis_01474500,39.9678905,-75.1885123
nwis_02110550,33.8508333,-78.8972222
nwis_10133650,40.7238375,-111.5196438
nwis_023362095,33.82138889,-84.2747222
nwis_08062500,32.42652988,-96.4630415
nwis_08070200,30.1454932,-95.1243756
nwis_01646500,38.94977778,-77.12763889
nwis_07061270,37.55255556,-90.8424444
nwis_01645704,38.88469518,-77.3324293
nwis_03027500,41.5531176,-78.5961347
nwis_08180700,29.33495798,-98.689744
nwis_01654500,38.8109462,-77.2349827
nwis_07109500,38.24805799,-104.3991356
nwis_07143672,38.0286223,-97.540597
nwis_071912213,36.3225808,-94.6852238
nwis_06893820,39.0173611,-94.3872778
nwis_06894000,39.1005609,-94.3005038
nwis_02336120,33.83149307,-84.342703
nwis_09041400,40.10859628,-106.4139212
nwis_03346500,38.7236111,-87.6644444
nwis_04136000,44.6769593,-84.2925146
nwis_02397530,34.20176124,-85.447458
nwis_03036000,40.9275653,-79.2911508
nwis_03353420,39.8725833,-86.3615278
nwis_04121970,43.43474558,-85.6653239
nwis_04213500,42.4633333,-78.9341667
nwis_08049500,32.7625,-96.9944444
nwis_01646000,38.97594346,-77.24581439
nwis_02135000,34.05710829,-79.2469897
nwis_04137500,44.43640447,-83.4338609
nwis_05515500,41.38963889,-86.7061667
nwis_05599490,37.7583333,-89.3277778
nwis_06711565,39.66498738,-105.004149
nwis_07178200,36.2231514,-95.8194322
nwis_01608500,39.44703879,-78.6541817
nwis_01648010,38.96016667,-77.0420556
nwis_04125460,44.19334009,-85.7697863
nwis_08068000,30.24465738,-95.4571616
nwis_05518000,41.1828134,-87.3403096
nwis_03409500,36.38828757,-84.6301881
nwis_10133800,40.75966979,-111.5640912
nwis_14162500,44.1248487,-122.47062
nwis_01484525,38.59455556,-75.29102778
nwis_02204037,33.6684422,-84.1510287
nwis_05435943,42.97694444,-89.5394444
nwis_09406000,37.2041494,-113.1807789
nwis_02336240,33.80288264,-84.3407585
nwis_08181800,29.2221853,-98.3558463
nwis_01548303,41.78479405,-77.4019232
nwis_03098600,41.10505807,-80.6625755
nwis_02234000,28.7141611,-81.0353374
nwis_07061290,37.4936111,-90.8383333
nwis_02336340,33.89788036,-84.345481
nwis_01645762,38.90888916,-77.3382627
nwis_02203960,33.69666667,-84.1986111
nwis_02336360,33.86916667,-84.37888889
nwis_03408500,36.3855167,-84.5547174
nwis_02344630,33.35761729,-84.5824289
nwis_05406479,43.1147222,-89.6641667
nwis_07048600,36.07305556,-94.0811111
nwis_05406469,43.12527778,-89.635
nwis_10129900,40.73522634,-111.4760313
nwis_14182500,44.7915108,-122.5789738
nwis_02156500,34.5951393,-81.4212089
nwis_01388000,40.99194444,-74.28
nwis_02169000,34.0140416,-81.0878717
nwis_08181500,29.2641276,-98.4908493
nwis_02207135,33.83066058,-84.1393612
nwis_12100490,47.27482295,-122.2078967
nwis_04137005,44.56084749,-83.802764
nwis_06893620,39.11194444,-94.4722222
nwis_11462500,39.02656314,-123.1305588
nwis_02207160,33.7734405,-84.077137
nwis_03072655,39.82507696,-79.9228329
nwis_02160700,34.5093039,-81.5981594
nwis_03512000,35.46138889,-83.3536111
nwis_02208450,33.64011554,-83.7790674
nwis_03539600,35.99766528,-84.8224946
nwis_04249000,43.45166667,-76.50527778
nwis_02160105,34.5354163,-81.548158
nwis_01433500,41.46138889,-74.75888889
nwis_02168504,34.0509822,-81.2095418
nwis_02266300,28.33278738,-81.579796
nwis_06893350,38.9061111,-94.64
nwis_14206950,45.403452,-122.7548185
nwis_06893300,38.9405621,-94.6713469
nwis_04124200,44.3630596,-85.820905
nwis_04136500,44.66001385,-84.1311167
nwis_02208493,33.6285,-83.7988611
nwis_12102075,47.19760016,-122.337343
nwis_01104430,42.3981512,-71.2733903
